file,label
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_000.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_001.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_002.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_003.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_004.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_005.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_006.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_007.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_008.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_009.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_010.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_011.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_012.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_013.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_014.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_015.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_016.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_017.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_018.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_019.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_020.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_021.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_022.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_023.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_024.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_025.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_026.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_027.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_028.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_029.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_030.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_031.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_032.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_033.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_034.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_035.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_036.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_037.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_038.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_039.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_040.wav,0
C:\Users\NATALIE\Desktop\stamm project\kevinolan\stammer\training\data\train\fluent\fluent_041.wav,0
